question_key,paper,source_question_id,skills,R,P,D,I,C,E,errors,rater,status,notes
a4079fdbf5f3:18(a),2526_2nd_S4MATH1.pdf,18(a),na.log.applications;na.log.laws,1,1,1,1,1,2,err.log.power-misplaced,claude-draft,draft,
a4079fdbf5f3:20(b),2526_2nd_S4MATH1.pdf,20(b),na.quad.discriminant;na.poly.find-coefficient,2,2,2,1,2,2,err.quad.discriminant-condition-reversed,claude-draft,draft,two quadratic factors; count real roots
a4079fdbf5f3:21(b),2526_2nd_S4MATH1.pdf,21(b),na.log.exp-equation;na.exp.graph;na.percent.growth-decay,3,2,3,2,3,2,err.exp.equate-bases-wrong,claude-draft,draft,compare two exponential models for all m
a4079fdbf5f3:22(b),2526_2nd_S4MATH1.pdf,22(b),na.func.optimise-word;na.func.vertex-form,1,2,1,1,1,1,err.quad.vertex-sign,claude-draft,draft,maximum implies complete the square
2696ce453070:9(b),2526_1st_S5MATH1.pdf,9(b),na.poly.factorise-cubic;na.quad.discriminant,2,2,2,2,3,2,err.quad.discriminant-condition-reversed,claude-draft,draft,factorise then judge the quadratic factor's roots
2696ce453070:11(b),2526_1st_S5MATH1.pdf,11(b),na.ineq.compound,0,1,1,0,1,2,err.ineq.flip-missing,claude-draft,draft,smallest integer after (a)
2696ce453070:13(b),2526_1st_S5MATH1.pdf,13(b),na.ineq.quadratic-graph,2,0,1,0,2,3,err.ineq.quadratic-region,claude-draft,draft,all x except 10/3: the equality case is the trap
2696ce453070:18(b),2526_1st_S5MATH1.pdf,18(b),na.quad.symmetric-functions;na.ineq.quadratic-algebra,3,3,2,2,2,2,err.ineq.quadratic-region;err.surd.not-simplified,claude-draft,draft,AB = |α − β| = √Δ / |a| must be seen
2696ce453070:20(a)(ii),2526_1st_S5MATH1.pdf,20(a)(ii),ms.circle.tangent-secant,1,1,1,1,2,1,err.geo.similar-corresponding-sides,claude-draft,draft,follows from the ratio in (a)(i)
2696ce453070:22(a),2526_1st_S5MATH1.pdf,22(a),ms.deduct.centres;ms.circle.concyclic-test,3,1,3,2,3,1,err.geo.reason-missing,claude-draft,draft,proof from incentre angle facts
8372ee2b558d:9,2526_1st_S6MATH2.pdf,9,na.poly.remainder-quadratic-divisor,2,2,2,1,1,1,err.eq.sign-transposing,claude-draft,draft,remainder is linear ax + b: two conditions
8372ee2b558d:31,2526_1st_S6MATH2.pdf,31,na.log.equation;na.eqn.exp-log-type,3,2,2,2,1,2,err.log.power-misplaced;err.log.base-change,claude-draft,draft,quadratic in log₃ y; then log₉ y
8372ee2b558d:39,2526_1st_S6MATH2.pdf,39,ms.trig.equation-quadratic,2,2,1,1,2,3,err.trig.second-solution-missed;err.trig.quadrant-sign,claude-draft,draft,sin² to 1 − cos²; reject |cos θ| > 1; count roots
8372ee2b558d:43,2526_1st_S6MATH2.pdf,43,dh.prob2.turns-until;na.seq.gs-sum-infinity,3,2,2,2,2,3,err.prob.turns-first-only,claude-draft,draft,infinite geometric series in disguise
bd61803dcf81:16,2526_2st_S6MATH2.pdf,16,ms.mensur.arc-sector;na.var.percent-change,2,1,2,2,2,2,err.percent.base-wrong,claude-draft,draft,arc fixed so radius rises 25%
bd61803dcf81:30,2526_2st_S6MATH2.pdf,30,dh.central.unknown-datum;dh.central.median,1,1,1,1,2,2,err.stat.median-unsorted,claude-draft,draft,case analysis on m and n
bd61803dcf81:45,2526_2st_S6MATH2.pdf,45,dh.disp.effect-change;dh.disp.variance,1,0,0,0,2,2,err.stat.effect-of-constant,claude-draft,draft,range is |−3| r; variance is 9v
