skill_id,strand,unit,name_en,name_zh,form,foundation,prerequisites,guide_ref
na.rational.nth-root,na,Rational and irrational numbers,Concept of the nth root and evaluating simple roots,n 次方根的概念及求簡單方根,F2,F,na.basic.power,KS3-4.1
na.percent.basic,na,Using percentages,Find a percentage of a quantity and express one as a percentage of another,百分數基本計算,F1,F,,KS3-5.1
na.percent.increase-decrease,na,Using percentages,Apply percentage increase / decrease,百分增加 / 減少,F1,F,na.percent.basic,KS3-5.1
na.percent.original-value,na,Using percentages,Find the original value from a changed value (reverse percentage),由變化後的值求原值,F1,F,na.percent.increase-decrease,KS3-5.2
na.percent.profit-loss,na,Using percentages,Profit / loss / discount and their percentages,盈利、虧蝕、折扣百分率,F1,F,na.percent.increase-decrease,KS3-5.2
na.percent.successive,na,Using percentages,Successive percentage changes,連續百分變化,F2,F,na.percent.increase-decrease,KS3-5.2
na.percent.simple-interest,na,Using percentages,Simple interest,單利息,F2,F,na.percent.basic,KS3-5.2
na.percent.compound-interest,na,Using percentages,Compound interest (with different compounding periods),複利息(不同計息期),F3,F,na.percent.successive;na.indices.laws,KS3-5.2
na.percent.growth-decay,na,Using percentages,Growth and depreciation problems,增長與折舊,F3,F,na.percent.compound-interest,KS3-5.2
na.percent.tax-rates,na,Using percentages,Salaries tax / rates and other tax problems,薪俸稅、差餉等稅務問題,F3,F,na.percent.basic,KS3-5.2
na.percent.inflation,na,Using percentages,Inflation and change in purchasing power,通脹與購買力,F3,F,na.percent.growth-decay,KS3-5.2
na.ratio.simplify,na,"Rates, ratios and proportions",Simplify a ratio and write it in the form 1:n / n:1,化簡比及寫成 1:n,F2,F,,KS3-6.1
na.ratio.share,na,"Rates, ratios and proportions",Divide a quantity in a given ratio,按比分配,F2,F,na.ratio.simplify,KS3-6.2
na.ratio.three-terms,na,"Rates, ratios and proportions",Combine ratios into a three-term ratio a:b:c,合併成三項比,F2,F,na.ratio.simplify,KS3-6.1
na.ratio.equation,na,"Rates, ratios and proportions",Solve a problem by setting up a ratio equation,以比例式解題,F2,F,na.ratio.simplify;na.lineq.solve,KS3-6.2
na.ratio.rate,na,"Rates, ratios and proportions",Use rates (speed / density / unit price) and convert units,率(速率、密度、單價)及單位換算,F2,F,,KS3-6.1;KS3-6.2
na.ratio.average-speed,na,"Rates, ratios and proportions",Average speed over several stages,多段路程的平均速率,F2,F,na.ratio.rate,KS3-6.2
na.ratio.scale,na,"Rates, ratios and proportions",Use map scale and scale drawings,比例尺,F2,F,na.ratio.simplify,KS3-6.2
na.formula.substitute,na,Formulae,Substitute values into a formula and evaluate,代入公式求值,F1,F,na.directed.mixed,KS3-13.2
na.formula.change-subject,na,Formulae,Change the subject of a formula,更改公式主項,F3,F,na.lineq.solve;na.identity.expand,KS3-13.3
na.formula.change-subject-radical,na,Formulas,Change the subject when the variable is under a root / index,主項在根號或指數內的更改主項,F3,,na.formula.change-subject;na.indices.laws,ext
na.algexp.translate,na,Algebraic expressions,Translate words into algebraic expressions,把文字化成代數式,F1,F,,KS3-7.1;KS3-7.2
na.algexp.like-terms,na,Polynomials,Collect like terms,合併同類項,F1,F,na.directed.add-sub,KS3-11.1;KS3-11.2
na.algexp.expand-bracket,na,Polynomials,Expand a(b + c) and remove brackets with signs,展開一次括號,F1,F,na.algexp.like-terms,KS3-11.2
na.algexp.substitute,na,Formulae,Evaluate an expression by substitution,代入求代數式的值,F1,F,na.formula.substitute,KS3-13.2
na.algexp.sequence-term,na,Algebraic expressions,Find the general term of a simple number sequence,求簡單數列的通項,F1,F,na.algexp.translate,KS3-7.3
na.algexp.function-idea,na,Algebraic expressions,Preliminary idea of a function (input–processing–output),函數的初步概念(輸入—處理—輸出),F1,F,na.algexp.translate,KS3-7.4
na.algexp.polynomial-terms,na,Polynomials,Identify degree / coefficient / constant term of a polynomial,多項式的次數、係數、常數項,F2,F,na.algexp.like-terms,KS3-11.1
na.algexp.poly-add-sub,na,Polynomials,Add and subtract polynomials,多項式加減,F2,F,na.algexp.like-terms,KS3-11.2
na.algexp.poly-mul,na,Polynomials,Multiply polynomials (binomial x binomial and beyond),多項式相乘,F2,F,na.algexp.expand-bracket,KS3-11.2
na.algexp.poly-div-monomial,na,More about polynomials,Divide a polynomial by a monomial,多項式除以單項式,F2,F,na.indices.laws,CP-4.1
na.lineq.solve,na,Linear equations in one unknown,Solve a linear equation by balancing / transposing,解一元一次方程,F1,F,na.algexp.like-terms,KS3-8.1
na.lineq.brackets,na,Linear equations in one unknown,Solve linear equations with brackets,解含括號的一次方程,F1,F,na.lineq.solve;na.algexp.expand-bracket,KS3-8.1
na.lineq.fractions,na,Linear equations in one unknown,Solve linear equations with fractional coefficients,解含分數係數的一次方程,F1,F,na.lineq.solve,KS3-8.1
na.lineq.word,na,Linear equations in one unknown,Set up and solve a linear equation from a word problem,列一次方程解應用題,F1,F,na.lineq.solve;na.algexp.translate,KS3-8.2;KS3-8.3
na.lineq.age-number,na,Linear equations in one unknown,Age / number / consecutive-integer problems,年齡及數字問題,F1,F,na.lineq.word,KS3-8.3
na.lineq.motion,na,Linear equations in one unknown,Distance-speed-time problems with a linear equation,行程問題,F1,F,na.lineq.word;na.ratio.rate,KS3-8.3
na.simeq.solution-check,na,Linear equations in two unknowns,Check whether an ordered pair satisfies a system,驗證有序對是否方程組的解,F2,F,,KS3-9.1
na.simeq.graph,na,Linear equations in two unknowns,Solve simultaneous linear equations graphically,以圖解法解聯立一次方程,F2,F,ms.coord.plot-line,KS3-9.2
na.simeq.substitution,na,Linear equations in two unknowns,Solve by substitution,代入消元法,F2,F,na.lineq.solve,KS3-9.3
na.simeq.elimination,na,Linear equations in two unknowns,Solve by elimination,加減消元法,F2,F,na.lineq.solve,KS3-9.3
na.simeq.choose-method,na,Linear equations in two unknowns,Choose substitution or elimination for a given system,選擇合適的消元法,F2,F,na.simeq.substitution;na.simeq.elimination,KS3-9.3
na.simeq.word,na,Linear equations in two unknowns,Set up and solve simultaneous equations from a word problem,列聯立方程解應用題,F2,F,na.simeq.choose-method;na.algexp.translate,KS3-9.4;KS3-9.5
na.identity.expand,na,Polynomials,Expand (a+b)(c+d) into four terms,展開兩個二項式之積,F2,F,na.algexp.poly-mul,KS3-11.2
na.identity.check,na,Identities,Distinguish an identity from an equation,分辨恆等式與方程,F2,F,na.identity.expand,KS3-12.1
na.identity.perfect-square,na,Identities,Use (a ± b)² = a² ± 2ab + b²,完全平方恆等式,F2,F,na.identity.expand,KS3-12.2
na.identity.dos,na,Identities,Use (a + b)(a − b) = a² − b²,平方差恆等式,F2,F,na.identity.expand,KS3-12.2
na.identity.numeric-trick,na,Identities,Use identities for numerical computation (e.g. 101²),用恆等式速算,F2,F,na.identity.perfect-square;na.identity.dos,KS3-12.2
na.factor.common,na,Factorisation,Take out the highest common factor,提取公因式,F2,F,na.algexp.expand-bracket,KS3-11.3
na.factor.grouping,na,Factorisation,Factorise by grouping terms,分組分解法,F2,F,na.factor.common,KS3-11.3
na.factor.recognise-square,na,Factorisation,Recognise a term as a perfect square (e.g. 225x² as (15x)²),認出完全平方項,F2,F,na.indices.laws,KS3-12.3
na.factor.dos,na,Factorisation,Factorise a difference of two squares,平方差因式分解,F2,F,na.factor.recognise-square;na.identity.dos,KS3-12.3
na.factor.perfect-square,na,Factorisation,Factorise a perfect square trinomial,完全平方三項式因式分解,F2,F,na.factor.recognise-square;na.identity.perfect-square,KS3-12.3
na.factor.cross,na,Factorisation,Factorise x² + bx + c by the cross method,十字相乘法(首項係數 1),F2,F,na.identity.expand,KS3-11.3
na.factor.cross-leading,na,Factorisation,Factorise ax² + bx + c (a ≠ 1) by the cross method,十字相乘法(首項係數非 1),F3,F,na.factor.cross,KS3-11.3
na.factor.choose-method,na,Factorisation,Choose the factorisation method for a given expression,選擇因式分解方法,F3,F,na.factor.common;na.factor.dos;na.factor.perfect-square;na.factor.cross-leading,KS3-11.3;KS3-12.3
na.factor.complete,na,Factorisation,Factorise completely (common factor then identity),完全因式分解(多步),F3,F,na.factor.choose-method,KS3-11.3;KS3-12.3
na.factor.sum-cube,na,Factorisation,Factorise a³ ± b³,立方和 / 立方差因式分解,F4,F,na.factor.dos,CP-4.3
na.indices.zero-negative,na,Laws of integral indices,Use a⁰ = 1 and negative indices,零指數與負指數,F2,F,,KS3-10.2
na.indices.laws,na,Laws of integral indices,Apply the laws of integral indices,整數指數定律,F2,F,na.indices.zero-negative,KS3-10.1;KS3-10.3
na.indices.simplify,na,Laws of integral indices,Simplify an expression with several index laws,綜合運用指數定律化簡,F2,F,na.indices.laws,KS3-10.3
na.lineineq.properties,na,Linear inequalities in one unknown,Use properties of inequalities (adding / multiplying by a negative),不等式性質(乘負數變向),F3,F,,KS3-14.2
na.lineineq.solve,na,Linear inequalities in one unknown,Solve a linear inequality and show the solution on a number line,解一元一次不等式並在數線上表示,F3,F,na.lineineq.properties;na.lineq.solve,KS3-14.1;KS3-14.3
na.lineineq.word,na,Linear inequalities in one unknown,Set up a linear inequality from a word problem,列不等式解應用題,F3,F,na.lineineq.solve,KS3-14.4
na.algfrac.simplify,na,Formulae,Simplify an algebraic fraction by factorising and cancelling,約簡代數分式,F3,F,na.factor.complete,KS3-13.1
na.algfrac.mul-div,na,Formulae,Multiply and divide algebraic fractions,代數分式乘除,F3,F,na.algfrac.simplify,KS3-13.1
na.algfrac.add-sub,na,Formulae,Add and subtract algebraic fractions (common denominator),代數分式加減(通分),F3,F,na.algfrac.simplify,KS3-13.1
na.algfrac.equation,na,Formulae,Solve an equation containing algebraic fractions,解含代數分式的方程,F3,F,na.algfrac.add-sub;na.lineq.solve,KS3-13.1;KS3-8.1
# --- Measures, Shape and Space ----------------------------------------------------
ms.estimate.length-area,ms,Errors in measurement,Estimate lengths / areas / volumes with suitable units,以合適單位估計長度、面積、體積,F1,E,,KS3-15.4
ms.estimate.strategy,ms,Errors in measurement,Choose a strategy to estimate a measurement,選擇估量策略,F1,E,ms.estimate.length-area,KS3-15.4
ms.mensur.rect-tri-area,ms,Mensuration,Area of rectangles / triangles / parallelograms / trapeziums,長方形、三角形、平行四邊形、梯形面積,F1,F,,KS2
ms.mensur.composite-area,ms,Arc lengths and areas of sectors,Area of a composite figure,複合圖形面積,F1,F,ms.mensur.rect-tri-area,KS3-16.3
ms.mensur.circle,ms,Arc lengths and areas of sectors,Circumference and area of a circle,圓周及圓面積,F1,F,,KS2;KS3-16.1
ms.mensur.arc-sector,ms,Arc lengths and areas of sectors,Arc length and area of a sector,弧長及扇形面積,F3,F,ms.mensur.circle,KS3-16.1;KS3-16.2;KS3-16.3
ms.mensur.segment,ms,Arc lengths and areas of sectors,Area of a segment (sector minus triangle),弓形面積,F3,F,ms.mensur.arc-sector;ms.trig.area-formula,KS3-16.3;CP-14.3
ms.mensur.prism-cylinder,ms,Mensuration,Volume and surface area of prisms and cylinders,柱體及圓柱的體積與表面積,F2,F,ms.mensur.rect-tri-area;ms.mensur.circle,KS3-18.1;KS3-18.2
ms.mensur.pyramid-cone,ms,Mensuration,Volume and surface area of pyramids and cones,錐體及圓錐的體積與表面積,F3,F,ms.mensur.prism-cylinder;ms.pythag.apply,KS3-18.1;KS3-18.2
ms.mensur.frustum,ms,Mensuration,Volume / surface area of a frustum by subtraction,截頭錐體,F3,F,ms.mensur.pyramid-cone;ms.similar.ratio-length,KS3-18.3
ms.mensur.sphere,ms,Mensuration,Volume and surface area of spheres and hemispheres,球體及半球,F3,F,,KS3-18.1;KS3-18.2
ms.mensur.composite-solid,ms,Mensuration,Volume / surface area of a composite solid,複合立體,F3,F,ms.mensur.pyramid-cone;ms.mensur.sphere,KS3-18.4
ms.mensur.similar-ratio,ms,Mensuration,Ratios of areas and volumes of similar figures (k² and k³),相似圖形的面積比與體積比,F3,F,ms.similar.ratio-length,KS3-18.3
ms.mensur.unit-convert,ms,Mensuration,Convert units of area and volume (cm²↔m² and cm³↔L),面積及體積單位換算,F2,F,,KS2
ms.mensur.dimension-check,ms,Mensuration,Judge whether a formula represents length / area / volume by dimension,以量綱判斷公式,F3,,,ext
ms.angles.basic,ms,Angles and parallel lines,Angles at a point / on a straight line / vertically opposite,對頂角、同頂角、直線上的鄰角,F1,F,,KS3-19.1
ms.angles.parallel,ms,Angles and parallel lines,Corresponding / alternate / interior angles with parallel lines,平行線的同位角、內錯角、同旁內角,F1,F,ms.angles.basic,KS3-19.2;KS3-19.4
ms.angles.parallel-prove,ms,Angles and parallel lines,Prove two lines parallel from angle relations,由角的關係證明平行,F1,F,ms.angles.parallel,KS3-19.3
ms.angles.triangle-sum,ms,Angles and parallel lines,Angle sum and exterior angle of a triangle,三角形內角和及外角,F1,F,ms.angles.basic,KS3-19.5
ms.angles.polygon-sum,ms,Polygons,Interior and exterior angle sums of polygons,多邊形內角和及外角和,F2,F,ms.angles.triangle-sum,KS3-20.2;KS3-20.3
ms.angles.regular-polygon,ms,Polygons,Angles of a regular polygon and finding n,正多邊形的角及求邊數,F2,F,ms.angles.polygon-sum,KS3-20.1;KS3-20.2;KS3-20.3
ms.angles.tessellation,ms,Polygons,"Which triangles, quadrilaterals and regular polygons tessellate",哪些三角形、四邊形及正多邊形可鑲嵌平面,F2,N,ms.angles.regular-polygon,KS3-20.4
ms.angles.isosceles,ms,Congruent triangles,Properties of isosceles and equilateral triangles,等腰及等邊三角形性質,F1,F,ms.angles.triangle-sum,KS3-21.3;KS3-21.4
ms.angles.multi-step,ms,Angles and parallel lines,Multi-step angle chasing with reasons stated,多步求角並寫理由,F2,F,ms.angles.parallel;ms.angles.triangle-sum,KS3-19.4;KS3-19.5;KS3-20.2
ms.congr.conditions,ms,Congruent triangles,Recognise SSS / SAS / ASA / AAS / RHS,全等三角形的判定條件,F2,F,,KS3-21.2
ms.congr.prove,ms,Congruent triangles,Prove two triangles congruent,證明三角形全等,F2,F,ms.congr.conditions,KS3-21.2
ms.congr.use,ms,Congruent triangles,Deduce equal sides / angles from congruence,由全等推出對應邊角相等,F2,F,ms.congr.prove,KS3-21.1
ms.construct.basic,ms,Congruent triangles,Construct angle bisectors / perpendicular bisectors / perpendiculars / parallels / special angles / squares with compasses and straightedge,以圓規及直尺作角平分線、垂直平分線、垂線、平行線、特殊角及正方形,F2,N,ms.angles.basic,KS3-21.5
ms.construct.regular,ms,Polygons,Construct equilateral triangles and regular hexagons with compasses and straightedge,以圓規及直尺作等邊三角形及正六邊形,F2,N,ms.construct.basic,KS3-20.5
ms.congr.figures,ms,Congruent triangles,Recognise congruent 2-D figures,認識全等的平面圖形,F2,N,ms.congr.conditions,KS3-21.6
ms.similar.conditions,ms,Similar triangles,Recognise AAA / three sides proportional / ratio of two sides and included angle,相似三角形的判定條件,F2,F,,KS3-22.2
ms.similar.prove,ms,Similar triangles,Prove two triangles similar,證明三角形相似,F2,F,ms.similar.conditions,KS3-22.2
ms.similar.ratio-length,ms,Similar triangles,Find lengths from corresponding sides of similar triangles,由相似三角形求邊長,F2,F,ms.similar.prove;na.ratio.equation,KS3-22.1
ms.similar.corresponding-angles,ms,Similar triangles,Find angles from corresponding angles of similar triangles (by vertex order),由相似三角形的對應角求角(按頂點次序),F2,F,ms.similar.conditions,KS3-22.1
ms.similar.hidden,ms,Similar triangles,Identify similar triangles in an overlapping / nested figure,在重疊圖形中認出相似三角形,F3,F,ms.similar.prove,KS3-22.2
ms.similar.figures,ms,Similar triangles,Recognise similar 2-D figures (proportional sides alone are not enough),認識相似的平面圖形(只有對應邊成比例並不足夠),F2,F,ms.similar.conditions,KS3-22.3
ms.deduct.triangle-centres,ms,Deductive geometry,Properties of medians / altitudes / angle bisectors / perpendicular bisectors,三角形的中線、高、角平分線、垂直平分線,F3,F,ms.congr.use,KS3-24.1
ms.deduct.centres,ms,Deductive geometry,Centroid / orthocentre / incentre / circumcentre,重心、垂心、內心、外心,F3,N,ms.deduct.triangle-centres,KS3-24.2;KS3-24.3
ms.deduct.midpoint-theorem,ms,Deductive geometry,Mid-point theorem and its converse,中點定理及其逆定理,F3,N,ms.similar.ratio-length,KS3-23.5
ms.deduct.intercept-theorem,ms,Deductive geometry,Intercept theorem (equal intercepts),截線定理,F3,N,ms.deduct.midpoint-theorem,KS3-23.5
ms.deduct.proof-writing,ms,Deductive geometry,Write a deductive proof with reasons for every step,寫出每步附理由的演繹證明,F3,N,ms.angles.multi-step;ms.congr.prove,KS3-23.4
ms.quad.properties,ms,Quadrilaterals,Properties of parallelogram / rectangle / rhombus / square / trapezium,各類四邊形的性質,F3,F,ms.angles.parallel,KS3-23.1;KS3-23.2
ms.quad.conditions,ms,Quadrilaterals,Conditions for a quadrilateral to be a parallelogram,平行四邊形的判定條件,F3,N,ms.quad.properties,KS3-23.3
ms.quad.prove,ms,Quadrilaterals,Prove a quadrilateral is a particular type,證明四邊形的類型,F3,N,ms.quad.conditions;ms.deduct.proof-writing,KS3-23.4
ms.pythag.apply,ms,Pythagoras’ theorem,Find a side of a right-angled triangle,以畢氏定理求邊,F2,F,na.rational.surd-simplify,KS3-25.1
ms.pythag.converse,ms,Pythagoras’ theorem,Use the converse to test for a right angle,畢氏定理的逆定理,F2,F,ms.pythag.apply,KS3-25.2
ms.pythag.word,ms,Pythagoras’ theorem,Apply Pythagoras' theorem in a real-life or 2-D figure problem,畢氏定理應用題,F2,F,ms.pythag.apply,KS3-25.3
ms.pythag.3d,ms,Pythagoras’ theorem,Apply Pythagoras' theorem in a 3-D solid (diagonal of a cuboid),立體中的畢氏定理,F3,F,ms.pythag.apply;ms.solid.identify,KS3-25.3
ms.coord.plot,ms,Rectangular coordinate system,Plot points and read coordinates in the rectangular system,直角坐標系上描點及讀坐標,F1,F,,KS3-26.1
ms.coord.axis-distance,ms,Rectangular coordinate system,Distance between two points on a horizontal or a vertical line,水平線或鉛垂線上兩點的距離,F1,F,ms.coord.plot,KS3-26.2
ms.coord.polar,ms,Introduction to coordinates,Use polar coordinates and convert to rectangular,極坐標及其轉換,F1,,ms.trig.ratios,ext
ms.coord.plot-line,ms,Linear equations in two unknowns,Plot a straight line from its equation by a table of values,由方程列表描繪直線,F2,F,ms.coord.plot,KS3-9.1
ms.coord.area-on-grid,ms,Rectangular coordinate system,Area of a polygon on the coordinate plane,坐標平面上多邊形的面積,F1,F,ms.coord.plot;ms.mensur.composite-area,KS3-26.3
ms.coord.transform,ms,Rectangular coordinate system,Coordinates after translation / reflection / rotation,平移、反射、旋轉後的坐標,F1,F,ms.coord.plot,KS3-26.4
ms.coordgeo.distance,ms,Rectangular coordinate system,Distance between two points,兩點間距離,F3,F,ms.pythag.apply,KS3-26.5
ms.coordgeo.midpoint,ms,Rectangular coordinate system,Mid-point of a line segment,線段中點,F3,N,ms.coord.plot,KS3-26.6
ms.coordgeo.section,ms,Rectangular coordinate system,Point dividing a segment in a given ratio (section formula),分點公式,F3,N,ms.coordgeo.midpoint;na.ratio.share,KS3-26.6
ms.coordgeo.slope,ms,Rectangular coordinate system,Slope of a line through two points,直線斜率,F3,F,,KS3-26.7
ms.coordgeo.inclination,ms,Equations of straight lines,Relation between slope and inclination,斜率與傾角,F3,F,ms.coordgeo.slope;ms.trig.ratios,CP-10.1
ms.coordgeo.parallel-perp,ms,Rectangular coordinate system,Conditions for parallel and perpendicular lines,平行及垂直的斜率條件,F3,F,ms.coordgeo.slope,KS3-26.8
ms.coordgeo.collinear,ms,Rectangular coordinate system,Test for collinear points,共線點,F3,F,ms.coordgeo.slope,KS3-26.7
ms.coordgeo.prove-shape,ms,Rectangular coordinate system,Prove a figure is a particular type using distances / slopes,以坐標法證明圖形類型,F3,F,ms.coordgeo.distance;ms.coordgeo.parallel-perp,KS3-26.9
ms.coordgeo.centres,ms,Rectangular coordinate system,Find the orthocentre / circumcentre / centroid by coordinate methods,以坐標法求垂心、外心、重心,F4,F,ms.line.parallel-perp-equation;ms.line.intersection;ms.deduct.centres,KS3-26.9;KS3-24.2
ms.trig.ratios,ms,Trigonometry,Define sin / cos / tan in a right-angled triangle,直角三角形中的三角比,F2,F,ms.pythag.apply,KS3-27.1
ms.trig.find-side,ms,Trigonometry,Find a side using a trigonometric ratio,以三角比求邊,F2,F,ms.trig.ratios,KS3-27.4
ms.trig.find-angle,ms,Trigonometry,Find an angle using an inverse ratio,以三角比求角,F2,F,ms.trig.ratios,KS3-27.4
ms.trig.special-angles,ms,Trigonometry,Exact values for 30° / 45° / 60°,特殊角的三角比值,F2,F,ms.trig.ratios,KS3-27.3
ms.trig.identities-basic,ms,Trigonometry,Use tan θ = sin θ / cos θ and sin²θ + cos²θ = 1,基本三角恆等式,F3,F,ms.trig.ratios,KS3-27.2
ms.trig.complementary,ms,Trigonometry,Use sin(90° − θ) = cos θ and related,餘角關係,F3,F,ms.trig.ratios,KS3-27.2
ms.trig.gradient,ms,Trigonometry,Gradient of a slope (ratio and angle),斜坡的坡度,F3,F,ms.trig.find-angle,KS3-27.5
ms.trig.elevation-depression,ms,Trigonometry,Angles of elevation and depression,仰角與俯角,F3,F,ms.trig.find-side,KS3-27.5
ms.trig.bearing,ms,Trigonometry,Compass bearings and true bearings,羅盤方位角及真方位角,F3,F,ms.trig.find-side,KS3-27.5
ms.trig.2d-multi,ms,Trigonometry,Multi-step 2-D problems combining two right-angled triangles,兩個直角三角形的組合問題,F3,F,ms.trig.elevation-depression,KS3-27.4;KS3-27.5
ms.trig.area-formula,ms,More about trigonometry,Area of a triangle = ½ab sin C,三角形面積公式 ½ab sin C,F4,N,ms.trig.ratios,CP-14.3
ms.transform.types,ms,Rectangular coordinate system,Recognise translation / reflection / rotation / enlargement,辨認平移、反射、旋轉、放大,F1,F,,KS3-26.4
ms.transform.symmetry,ms,Transformation and symmetry,Reflectional and rotational symmetry of a figure,反射對稱與旋轉對稱,F1,,,ext
ms.transform.effect,ms,Rectangular coordinate system,Effect of a transformation on a figure (shape / size / orientation),變換對圖形的影響,F1,F,ms.transform.types,KS3-26.4
ms.solid.identify,ms,3-D figures,Identify prisms / pyramids / cylinders / cones / spheres and their nets,辨認立體及其摺紙圖樣,F1,F,,KS3-17.1
ms.solid.sketch,ms,3-D figures,Sketch 2-D representations of prisms / cylinders / pyramids / cones,繪畫柱體、錐體的平面表示,F1,F,ms.solid.identify,KS3-17.3
ms.solid.euler,ms,3-D figures,Vertices / edges / faces of a polyhedron (Euler's formula),多面體的頂點、棱、面(歐拉公式),F1,E,ms.solid.identify,KS3-17.5
ms.solid.projection,ms,3-D figures,Orthographic projections and cross-sections,正投影圖及截面,F3,F,ms.solid.identify,KS3-17.2;KS3-17.4
# --- Data Handling ----------------------------------------------------------------
dh.collect.methods,dh,Organisation of data,Methods of collecting data and types of data,收集數據的方法及數據類型,F1,F,,KS3-28.1
dh.collect.frequency-table,dh,Organisation of data,Construct a frequency distribution table (with class intervals),製作頻數分佈表,F1,F,,KS3-28.2;KS3-28.3
dh.collect.class-mark,dh,Organisation of data,Class mark / class boundaries / class width,組中值、組界、組距,F2,F,dh.collect.frequency-table,KS3-28.3
