# Learning Objectives of the EDB Mathematics C&A Guide (S4-6, 2017): Compulsory Part
# (CP), Module 1 (M1), Module 2 (M2), and of the Supplement on the learning content
# of junior secondary Mathematics (2017; KS3). Extracted from docs/CA_2017_e.pdf and
# docs/jsmc2017_e.pdf by scripts/extract_guide_objectives.py; formulas the PDFs draw
# as images are missing from text and remarks. obj = objective number (a Further
# Learning Unit has one unnumbered objective, given its unit number); nf = blank for
# a Foundation Topic, N = Non-foundation (underlined in the Guide), E = Enrichment
# (** in the KS3 Supplement); time = suggested hours for the unit; page = PDF page.
part,strand,unit_no,unit,obj,nf,time,text,remarks,page
CP,Number and Algebra Strand,9,More about graphs of functions,9.1,N,,"sketch and compare graphs of various types of functions including constant, linear, quadratic, trigonometric, exponential and logarithmic functions","Comparison includes domains, existence of maximum or minimum values, symmetry and periodicity.",34
CP,Number and Algebra Strand,9,More about graphs of functions,9.2,,,solve the equation f (x) = k using the graph of y = f (x),,34
CP,Number and Algebra Strand,9,More about graphs of functions,9.3,,,"solve the inequalities f (x) > k, f (x) < k, f (x)  kand f (x)  k using the graph of y = f (x)",,35
CP,Number and Algebra Strand,9,More about graphs of functions,9.4,N,,"understand the transformations of the function f(x) including f (x) + k, f (x + k), kf (x) and f (kx) from tabular, symbolic and graphical perspectives",,35
CP,"Measures, Shape and Space Strand",10,Equations of straight lines,10.1,,7,understand the equation of a straight line,Students are required to find the equation of a straight line from given conditions such as:  the coordinates of any two points on the straight line  the slope of the straight line and the coordinates of a point on it  the slope and the y-intercept of the straight line Students are required to describe the features of a straight line from its equation. The featuresinclude:  the slope  the intercepts with the axes  whether it passes through a given point The normal form is not required. Students are required to recognise the relation between slope and inclination.,35
CP,"Measures, Shape and Space Strand",10,Equations of straight lines,10.2,,,understand the possible intersection of two straight lines,"Students are required to determine the number of intersection points of two straight lines from their equations. At Key Stage 3, students are required to solve simultaneous linear equations in two unknowns. Note: Teachers are suggested to arrange the teaching of this Learning Unit in the first term of S4.",36
CP,"Measures, Shape and Space Strand",11,Basic properties of circles,11.1,,23,understand the properties of chords and arcs of a circle,The properties of chords and arcs of a circle include:  the chords of equal arcs are equal  equal chords cut off equal arcs  theperpendicular from the centre to a chord bisects the chord  the straight line joining the centre and the mid-point of a chord which is not a diameter is perpendicular to the chord  the perpendicular bisector of a chord passes through the centre  equal chords are equidistant from the centre  chords equidistant from the centre are equal Students are required to understand that there is one and only one circle passing through given three non-collinear points. The property that the arcs are proportional to their corresponding angles at the centre should be discussed at Key Stage 3 when the formula for calculating arc lengths is being explicated.,36
CP,"Measures, Shape and Space Strand",11,Basic properties of circles,11.2,,,understand the angle properties of a circle,"The angle properties of a circle include:  the angle subtended by an arc of a circle at the centre is double the angle subtended by the arc at any point on the remaining part of the circumference  angles in the same segment are equal  the arcs are proportional to their corresponding angles at the circumference  the angle in a semi-circle is a right angle  if the angle at the circumference is a right angle, then the chord that subtends the angle is a diameter",37
CP,"Measures, Shape and Space Strand",11,Basic properties of circles,11.3,,,understand the properties of a cyclic quadrilateral,The properties of a cyclic quadrilateral include:  the opposite angles of a cyclic quadrilateral are supplementary  an exterior angle of a cyclic quadrilateral equals its interior opposite angle,38
CP,"Measures, Shape and Space Strand",11,Basic properties of circles,11.4,N,,understand the tests for concyclic points and cyclic quadrilaterals,"The tests for concyclic points and cyclic quadrilaterals include:  if Aand D are two points on the same side of the lineBCand BAC=  BDC, then A, B, Cand D are concyclic  if a pair of opposite angles of a quadrilateral are supplementary, then the quadrilateral is cyclic  if the exterior angle of a quadrilateral equals its interior opposite angle, thenthe quadrilateral is cyclic",38
CP,"Measures, Shape and Space Strand",11,Basic properties of circles,11.5,N,,understand the properties of tangents to a circle and angles in the alternate segments,"The properties include:  atangent to a circle is perpendicular to the radius through the point of contact  the straight line perpendicular to a radius of a circle at its external extremity is a tangent to the circle  the perpendicular to a tangent at its point of contact passes through the centre of the circle  if two tangents are drawn to a circle from an external point, then: - the distances from the external point to the points of contact are equal - the tangents subtend equal angles at the centre - the straight line joining the centre to the external point bisects the angle between the tangents  if a straight line istangent to a circle, then the tangent-chord angle is equal to the angle in the alternate segment  if a straight line passes through anend point of a chord of a circle so that the angle it makes with the chord is equal to the angle in the alternate segment, then the straight line touches the circle",39
CP,"Measures, Shape and Space Strand",11,Basic properties of circles,11.6,N,,use the basic properties of circles to perform simple geometric proofs,Knowledge on geometry learnt atKey Stage 3 can be involved in the geometric proofs.,40
CP,"Measures, Shape and Space Strand",12,Loci,12.1,,6,understand the concept of loci,,40
CP,"Measures, Shape and Space Strand",12,Loci,12.2,,,describe and sketch the locus of points satisfying given conditions,The conditions include:  maintaining a fixed distance from a fixed point  maintaining an equal distance from two given points  maintaining a fixed distance from a line  maintaining an equal distance from two parallel lines  maintaining an equal distance from two intersecting lines,40
CP,"Measures, Shape and Space Strand",12,Loci,12.3,,,describe the locus of points with algebraic equations,"Students are required to find the equations of simple loci, which include equations of straight lines, circles and parabolas (in the 2 form of y= ax + bx+ c).",41
CP,"Measures, Shape and Space Strand",13,Equations of circles,13.1,,7,understand the equation of a circle,"Students are required to find the equation of a circle from given conditions such as:  the coordinates of the centre and the radius of the circle  the coordinates of any three points on the circle Students are required to describe the features of a circle from its equation. The features include:  the centre  the radius  whether a given point lies inside, outside or on the circle",41
CP,"Measures, Shape and Space Strand",13,Equations of circles,13.2,N,,find the coordinates of the intersections of a straight line and a circle and understand the possible intersection of a straight line and a circle,Students are required to find the equations of tangents to a circle.,41
CP,"Measures, Shape and Space Strand",14,More about trigonometry,14.1,,25,"understand the functions sine, cosine and tangent, and their graphs and properties, including maximum and minimum values and periodicity","Simplification of expressions involving sine, cosine and tangent of  , 90   , 180 , … , etc. is required. Equations that can be transformed into",42
CP,"Measures, Shape and Space Strand",14,More about trigonometry,14.2,N,,"solve the trigonometric equations a sin  = b , a cos  = b , a tan  = b (solutions in the interval from 0  to 360 ) and other trigonometric equations (solutions in the interval from 0to 360)",quadratic equations are required only in the Non-foundation Topics and dealt with in Learning Objective 5.3.,42
CP,"Measures, Shape and Space Strand",14,More about trigonometry,14.3,N,,understand the formula ½ absin Cfor areas of triangles,,42
CP,"Measures, Shape and Space Strand",14,More about trigonometry,14.4,N,,understand the sine and cosine formulae,,42
CP,"Measures, Shape and Space Strand",14,More about trigonometry,14.5,N,,understand Heron’s formula,,42
CP,"Measures, Shape and Space Strand",14,More about trigonometry,14.6,N,,understand the concept of projection,,42
CP,"Measures, Shape and Space Strand",14,More about trigonometry,14.7,N,,"understand the angle between a line and a plane, and the angle between 2 planes",The concept of inclination is required.,42
CP,"Measures, Shape and Space Strand",14,More about trigonometry,14.8,N,,understand the theorem of three perpendiculars,,42
CP,"Measures, Shape and Space Strand",14,More about trigonometry,14.9,N,,solve related 2-dimensional and 3-dimensional problems,"3-dimensional problems include finding the angle between two lines, the angle between a line and a plane, the angle between two planes, the distance between points, the distance between a point and a line, and the distance between a point and a plane.",43
CP,Data Handling Strand,15,Permutations and combinations,15.1,N,,understand the addition rule and multiplication rule in the counting principle,n,43
CP,Data Handling Strand,15,Permutations and combinations,15.2,N,,understand the concept and notation of permutation,"Notations such as “ ” , “ P” , “ P” , etc. n r r can be used.",43
CP,Data Handling Strand,15,Permutations and combinations,15.3,N,,solve problems on the permutation of distinct objects without repetition,Problems such as “permutation of objects in which three particular objects are put next to each other” are required. Circular permutation is not required. n,43
CP,Data Handling Strand,15,Permutations and combinations,15.4,N,,understandthe concept and notation of combination,"Notations such as “ ” , “C” , “ C” , n r r “ ” , etc. can be used.",43
CP,Data Handling Strand,15,Permutations and combinations,15.5,N,,solve problems on the combination of distinct objects without repetition,,44
CP,Data Handling Strand,16,More about probability,16.1,N,10,"recognise the notation of set language including union, intersection and complement",The concept of Venn Diagram is required.,44
CP,Data Handling Strand,16,More about probability,16.2,N,,understand the addition law of probability and the conceptsof mutually exclusive events and complementary events,The addition law of probability refers to “P(A B) = P(A) + P(B)  P(A B) ”.,44
CP,Data Handling Strand,16,More about probability,16.3,N,,understand the multiplication law of probability and the concept of independent events,"The multiplication law of probability refers to “P(A  B) = P(A)  P(B) , where A and B are independent events”.",44
CP,Data Handling Strand,16,More about probability,16.4,N,,recognise the concept and notation of conditional probability,The rule “P(A  B) = P(A)  P(B | A)” is required. Bayes’ Theorem is not required.,44
CP,Data Handling Strand,16,More about probability,16.5,N,,use permutation and combination to solve problems related to probability,,44
CP,Data Handling Strand,17,Measures of dispersion,17.1,,13,understand the concept of dispersion,,44
CP,Data Handling Strand,17,Measures of dispersion,17.2,,,understand the concepts of range and inter-quartile range,,44
CP,Data Handling Strand,17,Measures of dispersion,17.3,,,construct and interpret the box -and-whisker diagram and use it to compare the distributions of different sets ofdata,A box-and-whisker diagram can also be called a “boxplot”.,45
CP,Data Handling Strand,17,Measures of dispersion,17.4,,,understand the concept of standard deviation for both grouped and ungrouped data sets,Students are required to recognise the term “variance” and that variance equals to the square of standard deviation. Students are required to understand the following formula for standard deviation:  = .,45
CP,Data Handling Strand,17,Measures of dispersion,17.5,,,compare the dispersions of different sets of data using appropriate measures,,45
CP,Data Handling Strand,17,Measures of dispersion,17.6,N,,understand the applications of standard deviation to real-life problems involving standard scores and the normal distribution,,45
CP,Data Handling Strand,17,Measures of dispersion,17.7,N,,understand the effect of the following operations on the dispersion of the data: (i) adding a common constant to each item of the set of data (ii)multiplying each item of theset of data by a common constant,,45
CP,Data Handling Strand,18,Uses and abuses of statistics,18.1,,4,recognise different techniques in survey sampling and the basic principles of questionnaire design,"Students are required to recognise t he concepts of “populations” and “samples”. Studentsare required to recognise probability sampling and non-probability sampling. Students are required to recognise that, in constructing questionnaires, factors such as the types, wording and ordering of questions and response options influence their validity and reliability.",46
CP,Data Handling Strand,18,Uses and abuses of statistics,18.2,,,discuss and recognise the uses and abuses of statistical methods in various daily-life activities or investigations,,46
CP,Data Handling Strand,18,Uses and abuses of statistics,18.3,,,"assess statistical investigations presented in different sources such as news media, research reports, etc.",,46
CP,Further Learning Unit,19,Further applications,19,,14,"Solve more sophisticated real-life and mathematical problems that may require students to search the information for clues, to explore different strategies, or to integrate various parts of mathematics which they have learned in different areas The main focuses are: (a) to explore and solve more sophisticated real-life problems (b) to appreciate the connections between different areas of mathematics",Examples:  solve simple financial problems in areas such as taxation and instalment payment  analyse and interpret data collected in surveys  explore and interpret graphs relatedto real- life situations  explore Ptolemy’s Theorem and its applications  model the relation between two sets of data which show a strong linear correlation and explore how to reduce simple non-linear relations such as y = m + c and x y= ka to linear relations  explore the relation between the Fibonacci sequence and the Golden Ratio  appreciate the applications of cryptography  explore the Ceva’s Theorem and it s applications  analyse mathematical games (e.g. explore the general solution of the water puzzle),46
CP,Further Learning Unit,20,Inquiry and investigation,20,,10,"Through various learning activities, discover and construct knowledge, further improve the ability to inquire, communicate, reason and conceptualise mathematical concepts",This is not an independent and isolated learning unit. The time is allocated for students to engage in learning activities from different learning units.,47
M1,Foundation Knowledge,1,Binomial expansion,1.1,,,"recognise the expansion of , where n is a positive integer","summation notation ( not required:  expansion of trinomials  the greatest coefficient, the greatest term and the properties of binomial coefficients applications to numerical approximation",53
M1,Foundation Knowledge,2,Exponential and logarithmic functions,2.1,,8,recognise the definition of e and the exponential series,,54
M1,Foundation Knowledge,2,Exponential and logarithmic functions,2.2,,,understand exponential functions and logarithmic functions,The following functions are required:  ,54
M1,Foundation Knowledge,2,Exponential and logarithmic functions,2.3,,,use exponential functions and logarithmic functions to solve problems,"Students are required to solve problems including those related to compound interest, population growth and radioactive decay. When experimental values of x and y are",54
M1,Foundation Knowledge,2,Exponential and logarithmic functions,2.4,,,"transform and to linear relations, where a , n and k are real numbers, , , and","given, students are required to plot the graph of the corresponding linear relation from which they can determine the values of the unknown constants by considering its slope and intercepts.",54
M1,Calculus,3,Derivative of a function,3.1,,5,recognise the intuitive concept of the limit of a function,"Student are required to recognise the theorems on the limits of sum, difference, product, quotient, scalar multiplication of functions and the limits of composite functions (the proofs are not required).",55
M1,Calculus,3,Derivative of a function,3.2,,,"find the limits of algebraic functions, exponential functions and logarithmic functions","The following algebraic functions are required: polynomial functions rational functions power functions functions derived from the above ones through addition, subtraction, multiplication, division and composition, such as",55
M1,Calculus,3,Derivative of a function,3.3,,,recognise the concept of the derivative of a function from first principles,"Students are not required to find the derivatives of functions from first principles. Students are required to recognise the notations: , and .",55
M1,Calculus,3,Derivative of a function,3.4,,,recognise the slope of the tangent of the curve at a point,Students are required to recognise the notations: and .,56
M1,Calculus,4,Differentiation of a function,4.1,,8,"understand the addition rule, product rule, quotient rule and chain rule of differentiation",The rules include:    ,56
M1,Calculus,4,Differentiation of a function,4.2,,,"find the derivatives of algebraic functions, exponential functions and logarithmic functions",The formulae that students are required to use include:       Implicit differentiation and logarithmic differentiation arenot required.,57
M1,Calculus,5,Second derivative,5.1,,2,recognise the concept of the second derivative of a function,"Students are required to recognise the notations: , and . Third and higher order derivatives are not required.",57
M1,Calculus,5,Second derivative,5.2,,,find the second derivative of an explicit function,Students are required to recognise the second derivative testand concavity.,58
M1,Calculus,6,Applications of differentiation,6.1,,10,"use differentiation to solve problems involving tangent, rate of change, maximum and minimum",Local and global extrema are required.,58
M1,Calculus,7,Indefinite integration and its applications,7.1,,10,recognise the concept of indefinite integration,Indefinite integration as the reverse process of differentiation should be introduced. Students are required to recognise the,58
M1,Calculus,7,Indefinite integration and its applications,7.2,,,understand the basic properties of indefinite integrals and basic integration formulae,notation: . The properties include: The formulae include: Students are required to understand the meaning of the constant of integration C.,58
M1,Calculus,7,Indefinite integration and its applications,7.3,,,use basic integration formulae to find the indefinite integrals of algebraic functions and exponential functions,,59
M1,Calculus,7,Indefinite integration and its applications,7.4,,,use integration by substitution to find indefinite integrals,Integration by parts is not required.,59
M1,Calculus,7,Indefinite integration and its applications,7.5,,,use indefinite integration to solve problems,,59
M1,Calculus,8,Definite integration and its applications,8.1,,12,recognise the concept of definite integration,"The definition of the definite integral as the limit of a sum of the areas of rectangles under a curve should be introduced. Students are required to recognise the notation: . The concept of dummy variables is required, for example: .",59
M1,Calculus,8,Definite integration and its applications,8.2,,,recognise the Fundamental Theorem of Calculus and understand the properties of definite integrals,"The Fundamental Theorem of Calculus that students are required to recognise is: , where . The properties include:     ",60
M1,Calculus,8,Definite integration and its applications,8.3,,,find the definite integrals of algebraic functions and exponential functions,,60
M1,Calculus,8,Definite integration and its applications,8.4,,,use integration by substitution to find definite integrals,,60
M1,Calculus,8,Definite integration and its applications,8.5,,,use definite integration to find the areas of plane figures,Students are not required to use definite integration to find the area between a curve and the y-axis and the area between two curves.,61
M1,Calculus,8,Definite integration and its applications,8.6,,,use definite integration to solve problems,,61
M1,Calculus,9,Approximation of definite integrals using the trapezoidal rule,9.1,,4,understand the trapezoidal rule and use it to estimate the values of definite integrals,Error estimation is not required. Students are required to determine whether an estimate is an over-estimate or under-estimate by using the second derivative and concavity.,61
M1,Statistics,10,Conditional probability and Bayes’ theorem,10.1,,6,understand the concept of conditional probability,,61
M1,Statistics,10,Conditional probability and Bayes’ theorem,10.2,,,use Bayes’ theorem to solve simpleproblems,,61
M1,Statistics,11,Discrete random variables,11.1,,1,recognise the concept of discrete random variables,,61
M1,Statistics,12,"Probability distribution, expectation and variance",12.1,,7,"recognise the conceptof discrete probability distribution and represent the distribution in the form of tables, graphs and mathematical formulae",The formulae that students are required to use,62
M1,Statistics,12,"Probability distribution, expectation and variance",12.2,,,recognise the concepts of expectation and variance and use them to solve simple problems,include: Notation can also be used.,62
M1,Statistics,13,The binomial distribution,13.1,,5,recognise the concept and properties of the binomial distribution,The Bernoulli distribution should be introduced. The mean and variance of the binomial distribution are required (the proofs are not required).,63
M1,Statistics,13,The binomial distribution,13.2,,,calculate probabilities involving the binomial distribution,Use of the binomial distribution table is not required.,63
M1,Statistics,14,The Poisson distribution,14.1,,5,recognise the concept and properties of the Poisson distribution,The mean and variance of Poisson distribution are required (the proofs are not required).,63
M1,Statistics,14,The Poisson distribution,14.2,,,calculate probabilities involving the Poisson distribution,Use of the Poisson distribution table is not required.,63
M1,Statistics,15,Applications of the binomial and the Poisson distributions,15.1,,5,use the binomial and the Poisson distributions to solve problems,,63
M1,Statistics,16,Basic definition and properties of the normal distribution,16.1,,3,"recognise the concepts of continuous random variables andcontinuous probability distributions, with reference to the normal distribution",Derivations of the mean and variance of the normal distribution are not required. Students are required to recognise that the formulae in Learning Objective 12.2 are also applicable to continuous random variables.,63
M1,Statistics,16,Basic definition and properties of the normal distribution,16.2,,,recognise the concept and properties of the normal distribution,"The properties include: the curve is bell-shaped and symmetrical about the mean the mean, mode and median are all equal the flatness can be determined by the value of the area under the curve is 1",64
M1,Statistics,17,Standardisation of a normal variable and use of the standard normal table,17.1,,2,standardise a normal variable and use the standard normal table to find probabilities involving the normal distribution,,64
M1,Statistics,18,Applications of the normal distribution,18.1,,,"find the values of , , and related probabilities, given the values of x , x , and , where 1 2",,64
M1,Statistics,18,Applications of the normal distribution,18.2,,,"find the values of x, given the values of , , , or a related probability, where",,64
M1,Statistics,18,Applications of the normal distribution,18.3,,,use the normal distribution to solve problems,,64
M1,Statistics,19,Sampling distribution and point estimates,19.1,,9,recognise the concepts of sample statistics and population parameters,"Students are required to recognise: If the population mean is  and the population size is N, then the population variance is .",65
M1,Statistics,19,Sampling distribution and point estimates,19.2,,,recognise the sampling distribution of the sample mean from a random sample of size n,"Students are required to recognise: If the population mean is  and the population variance is , then and . If , then (the proof is not required).",65
M1,Statistics,19,Sampling distribution and point estimates,19.3,,,use the Central Limit Theorem to treat as being normally distributed when the sample size n is sufficiently large,,65
M1,Statistics,19,Sampling distribution and point estimates,19.4,,,recognise the concept of point estimates including the sample mean and sample variance,"Students are required to recognise: If the sample mean is and the sample size is n, then the sample variance is . Students are required to recognise the concept of unbiased estimator.",66
M1,Statistics,20,Confidence interval for a population mean,20.1,,6,recognise the concept of confidence interval,,66
M1,Statistics,20,Confidence interval for a population mean,20.2,,56,find the confidence interval for a population mean,"Students are required to recognise: A confidence interval for the mean  of a normal population with known variance , based on a random sample of size n, is given by . When the sample size n is sufficiently large, a confidence interval for the mean  of a population with unknown variance is given by , where s is the sample standard deviation.",66
M1,Further Learning Unit,21,Inquiry and investigation,21,,7,"Through various learning activities, discover and construct knowledge, further improve the ability to inquire, communicate, reason and conceptualise mathematical concepts",This is not an independent and isolated learning unit. The time is allocated for students to engage in learning activities from different learning units.,67
M2,Foundation Knowledge,1,Odd and even functions,1.1,,2,recognise odd and even functions and their graphs,Students are required to recognise that the absolute value function is an example of even functions.,68
M2,Foundation Knowledge,2,Mathematical induction,2.1,,3,understandthe principle of mathematical induction,The First Principle of Mathematical Induction is required. Students are required to prove propositions related to the summation of a finite sequence. Proving propositions involving inequalities is not required.,68
M2,Foundation Knowledge,3,The binomial theorem,3.1,,3,expand binomials with positive integral indices using the binomial theorem,"Proving the binomial theorem is required. Students are required to recognise the summation notation (  ). The following contentsare not required:  expansion of trinomials  the greatest coefficient, the greatest term and the properties of binomial coefficients  applications to numerical approximation",69
M2,Foundation Knowledge,4,More about trigonometric functions,4.1,,15,understandthe concept of radian measure,,69
